Unixtime;Date;Local time;66b62168512d3a00235da840;66b620f2512d3a00235da81a;66b62132512d3a00235da82d;66b621a0512d3a00235da853;66b621e7512d3a00235da866;66b62267512d3a00235da879
;;;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::3;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::1;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::2;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::4;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::5;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::6
;;;ATMOS Metrologie;ATMOS Metrologie;ATMOS Metrologie;ATMOS Metrologie;ATMOS Metrologie;ATMOS Metrologie
;;;Atmosphäre;Atmosphäre;Atmosphäre;Atmosphäre;Atmosphäre;Atmosphäre
;;;DNI_GC, SOLms80shplus_A;GHI, SOLms80shplus_A;DHI_GC, SOLms80shplus_A;DHI, SOLms80shplus_A;DNI, SOLms80shplus_A;Transposed Irradiance, SOLms80shplus_A
UTC;;Europe/Berlin;W/m²;W/m²;W/m²;W/m²;W/m²;W/m²
1737242100000;2025-01-19;00:15:00.000;;-0.024404761904761946;;;;
1737243000000;2025-01-19;00:30:00.000;;-0.32345679012345674;;;;
1737243900000;2025-01-19;00:45:00.000;;-0.3856164383561643;;;;
1737244800000;2025-01-19;01:00:00.000;;-0.29610389610389576;;;;
1737245700000;2025-01-19;01:15:00.000;;-0.15925925925925932;;;;
1737246600000;2025-01-19;01:30:00.000;;-0.15679012345679008;;;;
1737247500000;2025-01-19;01:45:00.000;;-0.10275862068965512;;;;
1737248400000;2025-01-19;02:00:00.000;;0.0196969696969697;;;;
1737249300000;2025-01-19;02:15:00.000;;-0.2424050632911391;;;;
1737250200000;2025-01-19;02:30:00.000;;-0.2979729729729728;;;;
1737251100000;2025-01-19;02:45:00.000;;-0.330821917808219;;;;
1737252000000;2025-01-19;03:00:00.000;;-0.4087499999999996;;;;
1737252900000;2025-01-19;03:15:00.000;;-0.2371794871794875;;;;
1737253800000;2025-01-19;03:30:00.000;;-0.21307189542483657;;;;
1737254700000;2025-01-19;03:45:00.000;;-0.1844155844155844;;;;
1737255600000;2025-01-19;04:00:00.000;;-0.19657534246575345;;;;
1737256500000;2025-01-19;04:15:00.000;;-0.14539007092198578;;;;
1737257400000;2025-01-19;04:30:00.000;;0.018012422360248435;;;;
1737258300000;2025-01-19;04:45:00.000;;-0.12549019607843134;;;;
1737259200000;2025-01-19;05:00:00.000;;-0.15297619047619046;;;;
1737260100000;2025-01-19;05:15:00.000;;-0.0013333333333333539;;;;
1737261000000;2025-01-19;05:30:00.000;;0.004142011834319555;;;;
1737261900000;2025-01-19;05:45:00.000;;-0.15283018867924525;;;;
1737262800000;2025-01-19;06:00:00.000;;-0.14671052631578946;;;;
1737263700000;2025-01-19;06:15:00.000;;-0.31582278481012616;;;;
1737264600000;2025-01-19;06:30:00.000;;-0.08562091503267971;;;;
1737265500000;2025-01-19;06:45:00.000;;-0.14545454545454545;;;;
1737266400000;2025-01-19;07:00:00.000;;-0.16242424242424244;;;;
1737267300000;2025-01-19;07:15:00.000;;-0.11372549019607847;;;;
1737268200000;2025-01-19;07:30:00.000;;-0.05818181818181821;;;;
1737269100000;2025-01-19;07:45:00.000;;-0.0066176470588235736;;;;
1737270000000;2025-01-19;08:00:00.000;;0.9620111731843574;;;;
1737270900000;2025-01-19;08:15:00.000;;3.066480446927375;;;;
1737271800000;2025-01-19;08:30:00.000;1;6.962944162436548;9.122222222222224;9.65;-9.20909090909091;9.263636363636364
1737272700000;2025-01-19;08:45:00.000;1.6296296296296293;13.424651162790694;12.790196078431372;13.684313725490192;-8.926415094339628;12.928301886792456
